        hour            z         tsoi
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
       0.000        0.000        0.000
